"CourseTitle","Category","Sub Category","CourseWebsite","Duration","DurationTerm","StudyMode","DegreeLevel","IntakeDay","IntakeMonth","ApplyDay","ApplyMonth","City","DomesticOnly","InternationalFee","DomesticFee","FeeTerm","FeeYear","Currency","StudyLoad","Language","IELTS_Listening","IELTS_Speaking","IELTS_Writing","IELTS_Reading","IELTS_Overall","PTE_Listening","PTE_Speaking","PTE_Writing","PTE_Reading","PTE_Overall","TOEFL_Listening","TOEFL_Speaking","TOEFL_Writing","TOEFL_Reading","TOEFL_Overall","English Test","English Test Reading","English Test Listening","English Test Speaking","English Test Writing","English Test Overall","AcademicLevel","AcademicScore","ScoreType","AcademicCountry","OtherTest","Score","OtherRequirement","CourseDescription","CourseStructure","Career"
"Psychology and Sociology,BA (Hons) & Foundation Year",,,"https://arden.ac.uk/our-courses/undergraduate/foundation-year-entry-degrees/ba-hons-psychology-and-sociology-foundation-degree","4-12 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Candidates for our psychology and sociology foundation courses are required to submit a personal statement (of between 350-550 words) or interview demonstrating an ability to study for the programme. This statement should include:</p>,<ul>
	<li>Your motivation for undertaking the programme</li>
	<li>Relevant work experience</li>
	<li>Prior qualifications</li>
	<li>References</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Are you fascinated by how the mind works? Do you want to earn a degree, but aren’t sure you’re prepared for university study? If so, Arden’s psychology and sociology foundation degree is the right choice for you, moving seamlessly onto undergraduate study. At Arden, we believe that everyone deserves the opportunity to go to university, regardless of background or qualifications. That’s why we’ve introduced the foundation year to this course, teaching the fundamental study skills needed to achieve a degree. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>The modules studied on our sociology and psychology foundation degree cover a variety of topics, from human behaviour to broader societal issues like poverty, inequality and social injustice. And what’s more, you don’t need to have a fixed career path in mind to enrol on this course. Designed to help you form ideas about where you want to go in the future, all our psychology and sociology courses require is the desire to learn and the motivation to give it your all. Ready to get started?</p>
                            </div>
                                                                                                        </div>","<p>You’ll have 4-12 years to complete your psychology and sociology undergraduate degree with foundation, meaning that you can take up to three years to complete each level. However, many of our students complete the course in 4-8 years.</p>,<p><strong>Foundation Year</strong></p>,<ul>
	<li>Numeracy, IT and Data</li>
	<li>Research Skills and Using Information</li>
	<li>Values, Ethics and Working Collaboratively</li>
	<li>Developing Academic Skills</li>
	<li>Crime and Law in Context</li>
	<li>Psychology of Everyday Life</li>
</ul>,<p><strong>Year 2</strong></p>,<ul>
	<li>Effective Interdisciplinary Study</li>
	<li>Introduction to Social and Developmental Psychology</li>
	<li>Introduction to Biological and Cognitive Psychology</li>
	<li>Introduction to Sociology</li>
	<li>Medicalisation of the Self</li>
	<li>Key Studies in Psychology</li>
</ul>,<p><strong>Year 3</strong></p>,<ul>
	<li>Research and Ethics in Action</li>
	<li>Personality and Intelligence</li>
	<li>Social Psychology</li>
	<li>Abnormality and the Deviant Other</li>
	<li>Cyber Communities and Social Networks</li>
	<li>Protests, Mass Movements and Rebellion</li>
</ul>,<p><strong>Year 4</strong></p>,<ul>
	<li>Contemporary Developmental Psychology</li>
	<li>Cross-Cultural Psychology</li>
	<li>Consumer Society and the Commodification of Beings</li>
	<li>Insecurity and Precariousness in the Globalised World</li>
	<li>Research Planning and Project</li>
</ul>","<p>Our psychology and sociology courses are designed to help launch your future as a smart, forward-thinking professional – so when you graduate, you’ll be spoilt for choice on which career path to go for! Some of your career options could include: </p>,<ul>
	<li>Teaching</li>
	<li>Counselling</li>
	<li>International Aid/Development work</li>
	<li>Research</li>
	<li>Journalism</li>
	<li>Politics</li>
	<li>Community, Youth or Social work</li>
</ul>"
"Law and Psychology,BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/psychology-degrees/ba-hons-law-psychology","3-9 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our BA (Hons) Law and Psychology undergraduate course has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Psychology and law may be two separate fields, but they’re united by their relevance to human behaviour. If you’re interested in finding the answers to the big questions, and you’ve got the drive to excel in an exciting and challenging career, then this law and psychology degree is perfect for you.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Designed to provide you with the fundamentals of two fascinating disciplines, this course gives you the chance to understand the world of social values and behaviours - but from different perspectives. With this law and psychology course, you’ll develop core legal skills and explore the science behind the human mind and how it works. Ready to get started?</p>
                            </div>
                                                                                                        </div>","<p>You have 3-9 years to complete this course, meaning that you can take up to three years to complete each level; however, many of our students complete the course in 3-6 years.</p>,<p><strong>Level 4</strong></p>,<ul>
	<li>Effective Interdisciplinary Study</li>
	<li>Introduction to Social and Developmental Psychology</li>
	<li>Introduction to Bio and Cognitive Psychology</li>
	<li>English Legal System</li>
	<li>Criminal Law</li>
	<li>Law and Ethics</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Research and Ethics in Action</li>
	<li>Tort 1 (Negligence)</li>
	<li>Civil Liberties and Human Rights</li>
	<li>Personality and Intelligence</li>
	<li>Social Psychology</li>
	<li>Tort 2 (Other Torts)</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Research Planning and Project</li>
	<li>Contemporary Developmental Psychology</li>
	<li>Cross-Cultural Psychology</li>
	<li>Occupational Psychology</li>
	<li>Law of Evidence</li>
</ul>","<p>Becoming an expert in two crucial disciplines leaves your career options completely open. It all depends on your preference! A law and psychology degree is highly valued by employers, and provides a solid foundation for a variety of positions within different industries. With this in mind, some roles you might be interested in include:</p>,<ul>
	<li>Criminal Justice System</li>
	<li>Police</li>
	<li>Prison</li>
	<li>Probation Services</li>
	<li>Lawyer</li>
	<li>Solicitor</li>
	<li>Social Worker</li>
	<li>Psychologist </li>
</ul>"
"Psychology and Human Resource Management,BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/psychology-degrees/ba-hons-hrm-psychology","3-9 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our BA (Hons) Psychology and HRM degree has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Designed to give you the upper hand in HRM and psychology, this course will teach you how to empower people in the workplace. With it, you’ll learn everything there is to know about the role psychology plays in a business, accelerating you to the top of the ladder in your future career. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>On this HRM and psychology degree, you’ll learn how a business achieves success by putting people at the heart of everything they do. This combination of skills and knowledge is increasingly valuable to employers, meaning you’ll graduate with a qualification that keeps your career options wide open. </p>
                            </div>
                                                                                                        </div>","<p><strong>Level 4</strong></p>,<ul>
	<li>English Legal System</li>
	<li>Effective Interdisciplinary Study</li>
	<li>Contract Law</li>
	<li>Understanding the Business Environment</li>
	<li>Introduction to Social and Developmental Psychology</li>
	<li>Introduction to Bio and Cognitive Psychology</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Research Ethics in Action</li>
	<li>Personality and Intelligence</li>
	<li>Social Psychology</li>
	<li>Planning HR</li>
	<li>Managing Across Cultures</li>
	<li>Managing Change in Organisations</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Research Planning and Project</li>
	<li>Occupational Psychology</li>
	<li>Employment Law</li>
	<li>Strategic Issues in HRM</li>
	<li>Cross Cultural Psychology</li>
</ul>",
"Human Resource Management and Psychology,BA (Hons) & Foundation Year",,,"https://arden.ac.uk/our-courses/undergraduate/foundation-year-entry-degrees/ba-hons-HRM-and-psychology-foundation","4-12 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Candidates for our psychology and HRM with foundation degree are required to submit a personal statement (of between 350-550 words) or attend an online interview, demonstrating their ability to study a degree-level programme at Arden University. We will take into account:</p>,<ul>
	<li>Your motivation for undertaking the programme</li>
	<li>Relevant work experience</li>
	<li>Prior qualifications</li>
	<li>References</li>
</ul>,<p>You also need a GCSE Maths Grade C or equivalent.</p>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Are you looking to open the door to a future career in human resource management or psychology? Or perhaps it’s been a while since you last studied? If so, Arden’s psychology and human resource management with foundation year course may be the right choice for you.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Our foundation course in human resource management and psychology will help you acquire and refine the skills and knowledge needed to pursue your higher education goals; you’ll then move seamlessly into undergraduate study. While the human resource management aspect focuses on key facets of current practice in HRM and employment law, the psychology element draws upon wider theories of human behaviour. This psychology and HRM degree is the perfect option for those looking to improve their study skills, develop a wide range of transferable skills and gain an in-depth understanding of a range of social science disciplines. Sound like you? </p>
                            </div>
                                                                                                        </div>","<p>You’ll have 4-12 years to complete your psychology and HRM with foundation course, meaning that you can take up to three years to complete each level. However, many of our students complete the course in 4-8 years.</p>,<p><strong>Year 1</strong></p>,<ul>
	<li>Using Numeracy, IT and Data</li>
	<li>Research Skills and Using Information</li>
	<li>Values, Ethics and Working Collaboratively</li>
	<li>Developing Academic Skills</li>
	<li>Crime and Law in Context</li>
	<li>Psychology of Everyday Life </li>
</ul>,<p><strong>Year 2</strong></p>,<ul>
	<li>English Legal System</li>
	<li>Effective Interdisciplinary Study</li>
	<li>Contract Law</li>
	<li>Understanding the Business Environment</li>
	<li>Introduction to Social and Developmental Psychology</li>
	<li>Introduction to Bio and Cognitive Psychology</li>
</ul>,<p><strong>Year 3</strong></p>,<ul>
	<li>Research Ethics in Action</li>
	<li>Personality and Intelligence</li>
	<li>Social Psychology</li>
	<li>Planning HR</li>
	<li>Managing Across Cultures</li>
	<li>Managing Change in Organisations</li>
</ul>,<p><strong>Year 4</strong></p>,<ul>
	<li>Research Planning and Project</li>
	<li>Occupational Psychology</li>
	<li>Employment Law</li>
	<li>Strategic Issues in HRM</li>
	<li>Cross Cultural Psychology</li>
</ul>","<p>Many of our psychology and HRM graduates are surprised at the career paths they’re able to explore following their foundation and undergraduate degree. The skills you’ll develop throughout your time with us will make you employable across a wide range of exciting sectors, including:</p>,<ul>
	<li>Counselling</li>
	<li>Teaching</li>
	<li>Research</li>
	<li>Human Resources</li>
	<li>Office Management</li>
	<li>Training and Development</li>
	<li>Business or Career Advising</li>
</ul>"
"Healthcare Management,BA (Hons) & Foundation Year",,,"https://arden.ac.uk/our-courses/undergraduate/foundation-year-entry-degrees/ba-hons-healthcare-foundation-degree","4-12 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Candidates for our healthcare management course with foundation year are required to submit a personal statement (of between 350-550 words) or interview demonstrating an ability to study for the programme. This statement should include:</p>,<ul>
	<li>Your motivation for undertaking the programme</li>
	<li>Relevant work experience</li>
	<li>Prior qualifications</li>
	<li>References</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Do you want to progress to a managerial role in healthcare, but not sure if you qualify for university study? If so, why not opt for our healthcare management degree with an integrated foundation year? Designed to equip you with the essential skills you need to progress to degree-level study, and then complete an undergraduate degree, this programme will help you to establish a professional career in healthcare management.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Focusing on the social, political and ethical issues in the healthcare industry, this degree will equip you with the essential skills needed to prepare you for a job in an industry you love. The foundation year is perfect if you need a little extra support to start your journey to higher education, offering study-skills modules and 1-2-1 guidance at every stage. Because at Arden, we believe that everyone deserves the opportunity to achieve a degree, regardless of background or qualifications. Ready to get started? </p>
                            </div>
                                                                                                        </div>","<p>You’ll have 4-12 years to complete your healthcare management foundation degree, meaning that you can take up to three years to complete each level. However, many of our students complete the course in 4-8 years.</p>,<p><strong>Foundation Year Modules </strong>   </p>,<ul>
	<li>Using Numeracy, IT and Data</li>
	<li>Research Skills and Using Information</li>
	<li>Values, Ethics and Working Collaboratively</li>
	<li>Developing Academic Skills</li>
	<li>Structure of Business</li>
	<li>Technology in Organisations </li>
</ul>,<p><strong>Year 2   </strong> </p>,<ul>
	<li>Skills for Learning in Care</li>
	<li>Social, Political and Environmental Issues in International Healthcare</li>
	<li>Communication and Collaboration in Managing the Professional Environment</li>
	<li>Meeting the Needs of Service Users</li>
	<li>Planning and Managing Resources</li>
	<li>Fostering Dignity and Respect</li>
</ul>,<p><strong>Year 3 </strong>   </p>,<ul>
	<li>Financial Control and Budgeting</li>
	<li>Performance Improvement and Management in Health and Social Care</li>
	<li>Public Health</li>
	<li>Health Promotion</li>
	<li>Inter-Agency Working</li>
	<li>Leading Teams in Health and Social Care</li>
</ul>,<p><strong>Year 4 </strong>   </p>,<ul>
	<li>Quality Management in a Care Setting</li>
	<li>Business Analysis and Planning</li>
	<li>Global Health and Sustainability</li>
	<li>Project Management and Risk</li>
	<li>Research Methods and Final Project</li>
</ul>","<p>With a healthcare foundation and undergraduate degree under your belt, you could apply for a variety of roles in the National Health Service (NHS), for a private healthcare provider, or for a voluntary or not-for-profit organisation in a range of settings, including:</p>,<ul>
	<li>Health Promotion Specialist</li>
	<li>Health Service Manager</li>
	<li>GP Practice Manager</li>
	<li>Care Manager</li>
	<li>Charity Officer</li>
	<li>Community Developer</li>
</ul>"
"Healthcare Management (Top-Up),BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/degree-top-ups/ba-hons-healthcare-top-up","1-3 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,,"<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Designed to bring out your best qualities, this course will launch your career as a healthcare professional. With it, you’ll be able to make informed decisions that lead to better practices in a challenging and ever-changing environment. Ready to take the next step of your career? This course will help you gain all the skills that are necessary to become an effective manager in the healthcare sector.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Developing professional level management skills and a solid understanding of the healthcare industry, this course will fulfil your career aspirations in the healthcare sector - whatever they are. All you need to get started is the desire to learn and the drive to do your best. This fast-track route to your qualification is the equivalent of the final year of undergraduate study, quickly accelerating you to graduate status. Ready to get started? </p>
                            </div>
                                                                                                        </div>","<ul>
	<li>Quality Management in a Care Setting</li>
	<li>Business Analysis and Planning</li>
	<li>Global Health and Sustainability</li>
	<li>Project Management and Risk</li>
	<li>Research Methods and Final Project</li>
</ul>","<p>Boosting your knowledge of health and social care, as well as mastering the fundamentals of successful management, this course can equip you with a range of vocational skills that will lead you to your future career and beyond. A few roles you might want to consider include:</p>,<ul>
	<li>Care Manager</li>
	<li>Health Service Manager</li>
	<li>Charity Officer</li>
	<li>Health Promotion Specialist</li>
</ul>"
"Healthcare Management,BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/healthcare-and-social-care/ba-hons-healthcare-management","3-9 ","Year","Both","Undergraduate",,,,,"Berlin,Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>To be eligible for our BA (Hons) Healthcare Management course, we need to see that you have:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Do you work in the healthcare industry and want to progress into a management role? Are you looking to grow your career prospects and opportunities? Look no further than Arden University’s healthcare management course. Delivered via Online or Blended Learning, our healthcare degrees are designed to teach you how to accommodate the increasingly complex needs of people, by managing the social care landscape through dynamic leadership approaches.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Throughout your BA (Hons) Healthcare Management degree, you’ll develop a wide range of transferable skills – from health promotion to financial control and budgeting. In the ever-changing field of healthcare, this advanced programme provides the opportunity to expand your knowledge and make the move into leadership. Our healthcare courses ensure you gain an understanding of the challenges faced by healthcare professionals, whilst also acquiring management skills that will equip you to progress your career to the next level. </p>
                            </div>
                                                                                                        </div>","<p><strong>Level 4</strong></p>,<ul>
	<li>Skills for Learning in Care</li>
	<li>Social, Political and Environmental Issues in International Healthcare</li>
	<li>Communication and Collaboration in Managing the Professional Environment</li>
	<li>Meeting the Needs of Service Users</li>
	<li>Planning and Managing Resources</li>
	<li>Fostering Dignity and Respect</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Financial Control and Budgeting</li>
	<li>Performance Improvement and Management in Health and Social Care</li>
	<li>Public Health</li>
	<li>Health Promotion</li>
	<li>Inter-Agency Working</li>
	<li>Leading Teams in Health and Social Care</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Quality Management in a Care Setting</li>
	<li>Business Analysis and Planning</li>
	<li>Global Health and Sustainability</li>
	<li>Project Management and Risk</li>
	<li>Research Methods and Final Project</li>
</ul>","<p>With a BA Healthcare Management course under your belt, you could work in the National Health Service (NHS), for a private healthcare provider, or for a voluntary or not-for-profit organisation in a range of settings, including:</p>,<ul>
	<li>Residential care homes or hospices</li>
	<li>Community healthcare (for example, GP surgeries, dental surgeries and healthcare clinics)</li>
	<li>Hospitals</li>
	<li>Home care settings</li>
</ul>"
"Criminology and Sociology,BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/criminology-degrees/ba-hons-criminology-sociology","3-9 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our BA (Hons) Criminology and Sociology degree has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Perfect for students who want to explore the phenomenon of crime and social values, this criminology and sociology degree will give you answers to the most pressing questions. Ready to start your journey to a career in social science? If so, enrolling with Arden University is your next step.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Designed to give you an insight into the world of human behaviour and crime, this course explores the causes, consequences, enforcement and social implications that crime has on modern society – preparing you to become a well-rounded, confident future professional in whichever industry fits you best. </p>
                            </div>
                                                                                                        </div>","<p>You have 3-9 years to complete this course, meaning that you can take up to 3 years to complete each level. However, many of our students complete their criminology and sociology course within 3-6 years.</p>,<p><strong>Level 4</strong></p>,<ul>
	<li>Effective Interdisciplinary Study</li>
	<li>Crime &amp; Society</li>
	<li>Criminal Justice System</li>
	<li>Introduction to Sociology</li>
	<li>Medicalisation of the Self</li>
	<li>Inequalities in the Modern World</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Research and Ethics in Action</li>
	<li>Contemporary Debates in Criminology</li>
	<li>Environmental Criminology</li>
	<li>Abnormality &amp; The Deviant Other</li>
	<li>Policing and Police Powers</li>
	<li>Protests, Mass Movements &amp; Rebellion</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Cybercrime</li>
	<li>Youth Justice</li>
	<li>Consumer Society &amp; The Commodification of Beings</li>
	<li>Insecurity &amp; Precariousness in the Globalised World</li>
	<li>Research Planning &amp; Project</li>
</ul>","<p>A criminology and sociology university course will help to launch your future as a smart, forward-thinking professional, so after graduating, you’ll be spoilt for choice on which career path to go for! Some of your career options could include: </p>,<ul>
	<li>Social work</li>
	<li>Counselling</li>
	<li>Crime prevention</li>
	<li>Community work</li>
	<li>Court services</li>
	<li>Mental Health</li>
	<li>Human Resources (HR)</li>
	<li>Central and Local Government</li>
	<li>Research</li>
	<li>Marketing</li>
	<li>Advertising</li>
</ul>"
"Graphic Design,BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/graphic-design-degrees/ba-hons-graphic-design","3-9 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our BA (Hons) Graphic Design undergraduate degree has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Every modern organisation is embracing graphic design as a necessary skill for business growth. So, whether you’re interested in a digital design degree, a marketing career or even a future in illustration, this graphic design course is the best way to get your foot in the door.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Exploring everything from typography and basic image creation to more advanced digital design and animation, this degree is designed to give you the upper hand in a range of creative pathways. During your studies, you’ll also learn more about the industry itself and the ever-evolving medium of design technology. Each of the modules in this graphic design course are cutting-edge, and go far beyond the basics - providing you with everything you need to become a fully-fledged graphic designer in whatever industry you choose.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Members of the team behind this course are practitioners themselves, so the experience you gain will be real-world relevant. Learning from those in industry also gives you the opportunity to explore fields of design you may not previously have considered – so your ext career move is yours!</p>
                            </div>
                                                                                                        </div>","<p>You have 3-9 years to complete this course, meaning that you can take up to three years to complete each level; however, many of our students complete the course in 3-6 years.</p>,<p><strong>Level 4</strong></p>,<ul>
	<li>Typography and Image Creation</li>
	<li>Design History and Critical Thinking</li>
	<li>Design and Layout</li>
	<li>Illustration and Animation</li>
	<li>Design Vocabulary</li>
	<li>Digital and Analogue Moving Image</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Studio Practice I</li>
	<li>Studio Practice II</li>
	<li>Reading Images I</li>
	<li>Reading Images II</li>
	<li>Self-Promotion and Packaging I</li>
	<li>Visualising Concepts</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Self-Promotion and Packaging II</li>
	<li>Industry Competition Briefs</li>
	<li>Dissertation</li>
	<li>Major Project</li>
</ul>","<p>After graduating, you’ll have a world of opportunity waiting for you! Once you’ve completed your graphic design degree, you’ll possess skills and knowledge that are in high demand, making you a vital employee to a range of different companies and sectors. Take a look at some of the roles you may want to consider in the future: </p>,<ul>
	<li>Publishing (book or magazine design)</li>
	<li>Branding</li>
	<li>Advertising</li>
	<li>Digital Moving Image</li>
	<li>Motion Graphics</li>
	<li>Packaging</li>
	<li>Television Graphics</li>
	<li>Exhibition Design</li>
	<li>Animation</li>
	<li>Photography</li>
	<li>Marketing Creative</li>
	<li>Studio Manager</li>
</ul>"
"Criminology and Psychology,BA (Hons) & Foundation Year",,,"https://arden.ac.uk/our-courses/undergraduate/foundation-year-entry-degrees/ba-hons-criminology-and-psychology-foundation","3-9 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Candidates for our BA (Hons) Criminology and Psychology foundation degree are required to submit a personal statement (of between 350-550 words) or attend an interview demonstrating an ability to study for the programme. This statement should include:</p>,<ul>
	<li>Your motivation for undertaking the programme</li>
	<li>Relevant work experience</li>
	<li>Prior qualifications</li>
	<li>References</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Do you ever find yourself wondering what motivates people to commit crimes? Are you interested in the minds of offenders, victims, and witnesses? If so, our BA (Hons) Criminology and Psychology Foundation degree is the right choice for you.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Arden University’s psychology and criminology foundation degree is a rigorous and career-enhancing course that provides you with an introduction to the key concepts needed to pursue your academic goals, and incorporates a foundation year with a full undergraduate qualification that follows directly on. Your foundation year will help you develop key working skills, IT skills, emotional intelligence and basic learning skills that will prepare you to successfully complete a degree programme. Once complete, you’ll focus on your chosen career path – in this case, criminology and psychology - for undergraduate study. Bringing together two related subject areas, you’ll gain a multi-disciplinary understanding of the reality of criminology and psychology, while also engaging in employment-related module assessments that are designed to give you the practical edge needed to stand out in today’s competitive job market.</p>
                            </div>
                                                                                                        </div>","<p><strong>Foundation Year Modules </strong></p>,<ul>
	<li>Using Numeracy, IT &amp; Data</li>
	<li>Research Skills and Using Information</li>
	<li>Values, Ethics and Working Collaboratively</li>
	<li>Developing Academic Skills</li>
	<li>Crime and Law in Context</li>
	<li>Psychology of Everyday Life</li>
</ul>,<p><strong>Year 2 </strong>   </p>,<ul>
	<li>Introduction to Social and Developmental Psychology</li>
	<li>Introduction to Biological and Cognitive Psychology</li>
	<li>Effective Interdisciplinary Study</li>
	<li>Crime and Society</li>
	<li>Criminal Justice System</li>
	<li>Key Studies in Psychology</li>
</ul>,<p><strong>Year 3</strong>    </p>,<ul>
	<li>Personality and Intelligence</li>
	<li>Research and Ethics in Action</li>
	<li>Contemporary Debates in Criminology</li>
	<li>Environmental Criminology</li>
	<li>Social Psychology</li>
	<li>Policing and Police Powers</li>
</ul>,<p><strong>Year 4  </strong>  </p>,<ul>
	<li>Cross-Cultural Psychology</li>
	<li>Contemporary Developmental Psychology</li>
	<li>Youth Justice</li>
	<li>Cybercrime</li>
	<li>Research Planning and Project</li>
</ul>",
